NOMBRE DE AGENCIA;TIPO PERSONA;EDAD;SEXO;MONEDA;MONTO DE PRESTAMO;PLAZO;TASA DE INTERêS;D÷AS PLAZO;PROPIO HEREDADO;SEGURO;TRABAJADOR;DIRECTIVO;TIPO DE SITUACION CONTABLE;PRIMER PRESTAMO;HIPOTECA registrada;Cuenta GARANTIA;Aplica Congelamiento;RIESGO INDIVIDUAL
1;1;51;0;1;50000;72;18;2160;1;0;1;0;4;1;0;0;0;1
1;1;51;0;1;800;7;18.37;210;1;0;1;0;4;1;0;0;0;1
1;1;56;1;1;45000;48;16.5;1440;2;0;1;0;4;1;0;0;0;1
1;1;52;0;1;10000;60;19.56;1800;1;0;1;0;4;1;0;0;0;1
1;1;60;1;1;28500;60;16.5;1800;2;0;1;0;4;1;0;0;0;1
1;1;60;1;1;33000;72;16.5;2160;1;0;1;0;4;1;0;0;0;1
1;1;60;1;1;3500;24;18.37;720;1;0;1;0;4;1;0;0;0;1
1;1;49;0;1;45000;72;18.06;2160;2;0;1;0;4;1;0;0;0;1
1;1;58;0;1;30000;60;19.95;1800;2;0;1;0;4;1;0;0;0;1
1;1;45;1;1;35000;48;16.5;1440;1;0;1;0;4;1;0;0;0;1
1;1;67;1;1;5000;18;18.37;540;2;0;1;0;4;1;0;0;0;1
1;1;43;1;1;50000;60;16;1800;2;0;1;0;4;1;0;0;0;1
1;1;49;0;1;30000;48;19.95;1440;2;0;1;0;4;1;0;0;0;1
1;1;45;1;1;60000;72;16;2160;2;0;1;0;4;1;0;0;0;1
1;1;45;0;1;75000;72;16;2160;2;0;1;0;4;1;0;0;0;1
1;1;45;1;1;75000;72;16;2160;1;0;1;0;4;1;0;0;0;1
1;1;40;0;1;45000;60;17;1800;2;0;1;0;4;1;0;0;0;1
1;1;40;0;1;66200;66;16;1980;1;0;1;0;4;1;0;0;0;1
1;1;40;0;1;2000;12;19.56;360;1;0;1;0;4;1;0;0;0;1
1;1;40;0;1;66200;66;16;1980;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;26000;60;19.95;1800;1;0;1;0;4;1;0;0;0;1
1;1;44;1;1;75000;72;16;2160;2;0;1;0;4;1;0;0;0;1
1;1;42;0;1;31000;72;17.5;2160;1;0;0;0;4;1;0;0;0;1
1;1;40;0;1;40000;60;19.95;1800;2;0;1;0;4;1;0;0;0;1
1;1;42;1;1;20001;48;19.95;1440;1;0;1;0;4;1;0;0;0;1
1;1;44;0;1;31000;60;17.6;1800;2;0;1;0;4;1;0;0;0;1
1;1;44;0;1;40000;72;17.3;2160;2;0;1;0;4;1;0;0;0;1
1;1;51;1;1;21000;60;22.95;1800;2;0;1;0;4;1;0;0;0;1
1;1;41;1;1;40000;60;19.95;1800;2;0;1;0;4;1;0;0;0;1
1;1;50;1;1;10000;30;25.76;900;1;0;1;0;4;1;0;0;0;1
1;1;39;0;1;57000;72;16.5;2160;2;0;1;0;4;1;0;0;0;1
1;1;51;1;1;30000;38;17.5;1140;1;0;1;0;4;1;0;0;0;1
1;1;51;1;1;35000;48;17.5;1440;2;0;1;0;4;1;0;0;0;1
1;1;50;1;1;52000;72;17;2160;2;0;1;0;4;1;0;0;0;1
1;1;38;1;1;100000;72;13.16;2160;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;9500;6;19.56;180;1;0;1;0;4;1;0;0;0;1
1;1;45;1;1;47000;55;18;1650;2;0;1;0;4;1;0;0;0;1
1;1;46;1;1;65000;72;16;2160;2;0;1;0;4;1;0;0;0;1
1;1;41;1;1;47000;85;16.5;2550;2;0;1;0;4;1;0;0;0;1
1;1;32;0;1;5000;24;27.68;720;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;158000;96;13.16;2880;1;1;1;0;4;1;1;1;0;1
1;1;42;1;1;130000;60;14.5;1800;1;0;1;0;4;1;0;0;0;1
1;1;37;1;1;35000;60;17;1800;2;0;1;0;4;1;0;0;0;1
1;1;35;0;1;43000;60;17;1800;1;0;1;0;4;1;0;0;0;1
1;1;42;0;1;17000;48;23.07;1440;2;0;1;0;4;1;0;0;0;1
1;1;53;1;1;7000;24;27.68;720;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;1300;1;125.22;30;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;51000;72;16;2160;2;0;1;0;4;1;0;0;0;1
1;1;33;0;1;1400;1;125.22;30;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;1120;2;125.22;60;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;760;3;125.22;90;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;23000;48;18;1440;2;0;1;0;4;1;0;0;0;1
1;1;37;0;1;40000;60;18;1800;2;0;1;0;4;1;0;0;0;1
1;1;35;1;1;75000;48;16;1440;1;0;1;0;4;1;0;0;0;1
1;1;37;1;1;28000;48;17;1440;2;0;1;0;4;1;0;0;0;1
1;1;36;1;1;44000;60;17;1800;1;0;1;0;4;1;0;0;0;1
1;1;41;1;1;850;6;19.56;180;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;75000;72;17;2160;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;75000;72;17;2160;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;4000;12;19.56;360;1;0;1;0;4;1;0;0;0;1
1;1;33;0;1;5000;12;19.56;360;1;0;1;0;4;1;0;0;0;1
1;1;31;0;1;45000;60;18;1800;2;0;1;0;4;1;0;0;0;1
1;1;34;1;1;21000;48;19.95;1440;2;0;1;0;4;1;0;0;0;1
1;1;41;1;1;6500;24;27.68;720;2;0;1;0;4;1;0;0;0;1
1;1;31;1;1;13500;36;18;1080;2;0;1;0;4;1;0;0;0;1
1;1;33;0;1;7000;24;25.76;720;1;0;1;0;4;1;0;0;0;1
1;1;38;1;1;35000;60;17;1800;2;0;1;0;4;1;0;0;0;1
1;1;31;1;1;31000;60;18;1800;1;0;1;0;4;0;0;0;0;1
1;1;32;1;1;9000;30;18;900;2;0;1;0;4;1;0;0;0;1
1;1;30;1;1;2700;16;25.76;480;1;0;1;0;4;1;0;0;0;1
1;1;32;1;1;30000;60;18;1800;2;0;1;0;4;1;0;0;0;1
1;1;33;1;1;2000;8;30.71;240;1;0;1;0;4;1;0;0;0;1
1;1;27;0;1;4100;16;27.68;480;1;0;1;0;4;1;0;0;0;1
1;1;39;1;1;40000;72;17;2160;2;0;0;0;3;1;0;0;1;2
1;1;29;0;1;25000;48;19.95;1440;2;0;1;0;4;1;0;0;0;1
1;1;26;1;1;25000;48;19.95;1440;1;0;1;0;4;1;0;0;0;1
1;1;26;1;1;8000;24;25.76;720;2;0;1;0;4;1;0;0;0;1
1;1;38;0;1;600;3;30.71;90;1;0;1;0;4;1;0;0;0;1
1;1;38;0;1;4530;24;19.56;720;1;0;1;0;4;1;0;1;0;1
1;1;35;1;1;40000;60;19.95;1800;2;0;1;0;4;1;0;0;0;1
1;1;34;1;1;55000;60;17;1800;1;0;1;0;4;0;0;0;0;1
1;1;38;1;1;38000;60;18;1800;2;0;1;0;4;0;0;0;0;1
1;1;46;1;1;5000;20;27.68;600;1;0;1;0;4;1;0;0;0;1
1;1;32;1;1;10100;36;25.76;1080;1;0;1;0;4;1;0;0;0;1
1;1;36;1;1;1200;12;30.71;360;1;0;1;0;4;1;0;0;0;1
1;1;37;1;1;600;8;30.71;240;1;0;1;0;4;1;0;0;0;1
1;1;37;0;1;15000;24;24.41;720;1;0;1;0;4;0;0;0;0;1
1;1;25;1;1;30000;48;18;1440;1;0;1;0;4;1;0;0;0;1
1;1;47;1;1;1000;10;30.71;300;1;0;1;0;4;0;0;0;0;1
1;1;37;1;1;7500;36;27.68;1080;2;0;1;0;4;1;0;0;0;1
1;1;30;1;1;2000;6;30.71;180;1;0;1;0;4;1;0;0;0;1
1;1;30;0;1;30000;48;18;1440;2;0;1;0;4;1;0;0;0;1
1;1;28;1;1;5000;12;15.6;360;1;0;1;0;4;1;0;0;0;1
1;1;28;1;1;500;2;30.71;60;2;0;1;0;4;1;0;0;0;1
1;1;32;1;1;8000;24;27.68;720;2;0;1;0;4;0;0;0;0;1
1;1;32;0;1;11000;36;24.71;1080;1;0;1;0;4;1;0;0;0;1
1;1;32;0;1;15000;36;24.71;1080;1;0;1;0;4;1;0;0;0;1
1;1;27;0;1;11000;24;25.76;720;1;0;0;0;3;1;0;0;1;3
1;1;30;0;1;1500;12;30.71;360;1;0;0;0;4;1;0;0;0;1
1;1;30;0;1;20100;48;19.95;1440;1;0;0;0;4;1;0;0;0;1
1;1;31;1;1;15000;36;24.41;1080;2;0;1;0;4;1;0;0;0;1
1;1;28;0;1;3000;11;30.71;330;2;0;1;0;4;1;0;0;0;1
1;1;29;1;1;5400;36;19.56;1080;1;0;1;0;4;1;0;0;0;1
1;1;27;1;1;15000;36;25.43;1080;1;0;1;0;4;1;0;0;0;1
1;1;79;1;1;5000;36;12.68;1080;1;0;0;0;4;1;0;0;0;1
1;1;86;1;1;7000;48;12.68;1440;1;0;0;0;4;1;1;1;0;1
1;1;34;1;1;3000;15;30.71;450;2;0;1;0;4;0;0;0;0;1
1;1;76;1;1;20000;36;16.98;1080;1;0;0;0;4;1;0;0;0;1
1;1;28;1;1;5000;24;27.68;720;1;0;1;0;4;1;0;0;0;1
1;1;36;1;1;4000;12;31.91;360;1;0;1;0;4;0;0;0;0;1
1;1;30;0;1;15000;36;24.41;1080;2;0;0;0;4;0;0;0;0;1
1;1;42;1;1;15000;36;24.41;1080;1;0;1;0;4;0;0;0;0;1
1;1;36;1;1;10050;36;25.76;1080;1;0;1;0;4;1;0;0;0;1
1;1;31;1;1;5500;12;27.68;360;1;0;1;0;4;0;0;0;0;1
1;1;38;1;1;7600;10;27.68;300;1;0;1;0;4;1;0;0;0;1
1;1;27;0;1;10200;48;25.76;1440;2;0;1;0;4;1;0;0;0;1
1;1;27;0;1;8300;24;26.94;720;1;0;1;0;4;1;0;0;0;1
1;1;30;0;1;2000;5;30.71;150;1;0;1;0;4;1;0;0;0;1
1;1;30;0;1;5000;18;30.71;540;1;0;1;0;4;1;0;0;0;1
1;1;26;0;1;23000;48;19.95;1440;2;0;1;0;4;0;0;0;0;1
1;1;28;0;1;17000;36;23.07;1080;2;0;1;0;4;1;0;0;0;1
1;1;24;1;1;1500;6;30.71;180;2;0;1;0;4;0;0;0;0;1
1;1;71;0;1;13000;58;24.41;1740;1;0;0;0;4;1;0;0;0;1
1;1;54;0;1;51000;72;17;2160;1;0;0;0;4;1;0;0;0;1
1;1;54;0;1;15000;36;32.33;1080;2;0;0;0;4;1;0;0;0;1
1;1;73;0;1;2000;12;12.68;360;1;0;0;0;4;1;0;0;0;1
1;1;42;0;1;5952;36;12.68;1080;1;0;0;0;4;1;1;1;0;1
1;1;72;0;1;10000;24;19.56;720;1;0;0;0;4;1;0;0;0;1
1;1;58;1;1;150000;60;14.24;1800;2;0;0;0;4;1;0;0;0;1
1;1;82;1;1;7030;36;12.68;1080;1;0;0;0;4;1;0;0;0;1
